locus_id	primary_name	category
b0297	eaeH, eaeH'	excluded
b0298	insE-1, insE1	well-annotated
b0299	insF-1, insF1	well-annotated
b0300	ykgA, ykgA'	excluded
b0301	rclC	y-ome
b0303	rclB	y-ome
b0304	rclA	y-ome
b0305	rclR	well-annotated
b0306	ykgE	y-ome
b0307	ykgF	y-ome
b0308	ykgG	y-ome
b0309		excluded
b0310	ykgH	y-ome
b0311	betA	well-annotated
b0312	betB	well-annotated
b0313	betI	well-annotated
b0314	betT	well-annotated
b0315	pdeL, yahA	well-annotated
b0316	yahB	y-ome
b0317	yahC	y-ome
b0318	yahD	y-ome
b0319	yahE	y-ome
b0320	yahF	y-ome
b0321	yahG	y-ome
b0322	yahH	y-ome
b0323	yahI	y-ome
b0324	yahJ	y-ome
b0325	yahK	well-annotated
b0326	yahL	y-ome
b0327	yahM	y-ome
b0328	yahN	y-ome
b0329	yahO	y-ome
b0330	prpR	well-annotated
b0331	prpB	well-annotated
b0333	prpC	well-annotated
b0334	prpD	well-annotated
b0335	prpE	well-annotated
b0336	codB	well-annotated
b0337	codA	well-annotated
b0338	cynR	well-annotated
b0339	cynT	well-annotated
b0340	cynS	well-annotated
b0341	cynX	y-ome
b0342	lacA	well-annotated
b0343	lacY	well-annotated
b0344	lacZ	well-annotated
b0345	lacI	well-annotated
b0346	mhpR	well-annotated
b0347	mhpA	well-annotated
b0348	mhpB	well-annotated
b0349	mhpC	well-annotated
b0350	mhpD	well-annotated
b0351	mhpF	well-annotated
b0352	mhpE	well-annotated
b0353	mhpT	well-annotated
b0354	yaiL	y-ome
b0355	frmB	well-annotated
b0356	frmA	well-annotated
b0357	frmR	well-annotated
b0358	yaiO	y-ome
b0359	yaiX_2	excluded
b0360	insC-1, insC1	well-annotated
b0361	insD-1, insD1	well-annotated
b0362	yaiX_1	excluded
b0363	yaiP	y-ome
b0364	yaiS	y-ome
b0365	tauA	well-annotated
b0366	tauB	well-annotated
b0367	tauC	well-annotated
b0368	tauD	well-annotated
b0369	hemB	well-annotated
b0370	ykiB	excluded
b0371	yaiT	y-ome
b0372	insF-2, insF2, insF1	well-annotated
b0373	insE-2, insE2, insE1	well-annotated
b0374	yaiU	y-ome
b0375	iprA, yaiV	y-ome
b0376	ampH	well-annotated
b0377	sbmA	well-annotated
b0378	yaiW	well-annotated
b0379	yaiY	y-ome
b0380	yaiZ	y-ome
b0381	ddlA	well-annotated
b0382	iraP	well-annotated
b0383	phoA	well-annotated
b0384	psiF	y-ome
b0385	dgcC, yaiC, adrA	well-annotated
b0386	proC	well-annotated
b0387	yaiI	y-ome
b0388	aroL	well-annotated
b0389	yaiA	y-ome
b0390	aroM	y-ome
b0391	ppnP, yaiE	well-annotated
b0392	ykiA, ykiA'	excluded
b0393	rdgC	well-annotated
b0394	mak	well-annotated
b0396	araJ	y-ome
b0397	sbcC	well-annotated
b0398	sbcD	well-annotated
b0399	phoB	well-annotated
b0400	phoR	well-annotated
b0401	brnQ	well-annotated
b0402	proY	well-annotated
b0403	malZ	well-annotated
b0404	acpH	well-annotated
b0405	queA	well-annotated
b0406	tgt	well-annotated
b0407	yajC	well-annotated
b0408	secD	well-annotated
b0409	secF	well-annotated
b0410	yajD	y-ome
b0411	tsx	well-annotated
b0412	yajI	y-ome
b0413	nrdR	well-annotated
b0414	ribD	well-annotated
b0415	ribE	well-annotated
b0416	nusB	well-annotated
b0417	thiL	well-annotated
b0418	pgpA	well-annotated
b0419	yajO	well-annotated
b0420	dxs	well-annotated
b0421	ispA	well-annotated
b0422	xseB	well-annotated
b0423	thiI	well-annotated
b0424	yajL	well-annotated
b0425	panE	well-annotated
b0426	yajQ	well-annotated
b0427	yajR	well-annotated
b0428	cyoE	well-annotated
b0429	cyoD	well-annotated
b0430	cyoC	well-annotated
b0431	cyoB	well-annotated
b0432	cyoA	well-annotated
b0433	ampG	well-annotated
b0434	yajG	y-ome
b0435	bolA	well-annotated
b0436	tig	well-annotated
b0437	clpP	well-annotated
b0438	clpX	well-annotated
b0439	lon	well-annotated
b0440	hupB	well-annotated
b0441	ppiD	well-annotated
b0442	ybaV	y-ome
b0443	fadM	well-annotated
b0444	queC	well-annotated
b0445	ybaE	y-ome
b0446	cof	well-annotated
b0447	decR, ybaO	well-annotated
b0448	mdlA	y-ome
b0449	mdlB	y-ome
b0450	glnK	well-annotated
b0451	amtB	well-annotated
b0452	tesB	well-annotated
b0453	ybaY	y-ome
b0454	atl, ybaZ	well-annotated
b0455	ffs	well-annotated
b0456	ybaA	y-ome
b0457	pdeB, ylaB	y-ome
b0458	ylaC	y-ome
b0459	maa	well-annotated
b0460	hha	well-annotated
b0461	tomB	y-ome
b0462	acrB	well-annotated
b0463	acrA	well-annotated
b0464	acrR	well-annotated
b0465	mscK	well-annotated
b0466	ybaM	y-ome
b0467	priC	well-annotated
b0468	ybaN	y-ome
b0469	apt	well-annotated
b0470	dnaX	well-annotated
b0471	ybaB	y-ome
b0472	recR	well-annotated
b0473	htpG	well-annotated
b0474	adk	well-annotated
b0475	hemH	well-annotated
b0476	aes	well-annotated
b0477	gsk	well-annotated
b0478	ybaL	y-ome
b0479	fsr	well-annotated
b0480	ushA	well-annotated
b0481	ybaK	well-annotated
b0482	ybaP	y-ome
b0483	ybaQ	y-ome
b0484	copA	well-annotated
b0485	glsA, glsA1	well-annotated
b0486	ybaT	y-ome
b0487	cueR	well-annotated
b0488	ybbJ	y-ome
b0489	qmcA	y-ome
b0490	fetA	y-ome
b0491	fetB	y-ome
b0492	ybbN	well-annotated
b0493	ybbO	well-annotated
b0494	tesA	well-annotated
b0495	ybbA	y-ome
b0496	ybbP	y-ome
b0497	rhsD	y-ome
b0498	ybbC	y-ome
b0499	ylbH, rhsH', rhsH	excluded
b0500	ybbD	y-ome
b0501	ybbD', ybbD	excluded
b0502	ylbG, ylbG'	excluded
b0503	selU, mnmH	well-annotated
b0504	allS	well-annotated
b0505	allA	well-annotated
b0506	allR	well-annotated
b0507	gcl	well-annotated
b0508	hyi	well-annotated
b0509	glxR	well-annotated
b0510	ybbV	y-ome
b0511	ybbW	y-ome
b0512	allB	well-annotated
b0513	ybbY	y-ome
b0514	glxK	well-annotated
b0515	allE	well-annotated
b0516	allC	well-annotated
b0517	allD	well-annotated
b0518	fdrA	y-ome
b0520	ylbF	y-ome
b0521	ybcF, arcC	y-ome
b0522	purK	well-annotated
b0523	purE	well-annotated
b0524	lpxH	well-annotated
b0525	ppiB	well-annotated
b0526	cysS	well-annotated
b0527	ybcI	y-ome
b0528	ybcJ	y-ome
b0529	folD	well-annotated
b0530	sfmA	y-ome
b0531	sfmC	y-ome
b0532	sfmD	y-ome
b0533	sfmH	y-ome
b0534	sfmF	y-ome
b0535	fimZ, sfmZ	y-ome
b0536	argU	well-annotated
b0537	intD	y-ome
b0538		excluded
b0539	ybcC, exoD', exoD	excluded
b0540	insE-3, insE3, insE1	well-annotated
b0541	insF-3, insF3, insF1	well-annotated
b0542	renD, renD'	excluded
b0543	emrE	well-annotated
b0544	ybcK	y-ome
b0545	ybcL	y-ome
b0546	ybcM	y-ome
b0547	ybcN	well-annotated
b0548	ninE	y-ome
b0549	ybcO	y-ome
b0550	rusA	well-annotated
b0551	ybcQ, quuD	y-ome
b0552	insH-2, insH2, insH1	well-annotated
b0553	nmpC, nmpC'	excluded
b0554	essD	y-ome
b0555	rrrD	well-annotated
b0556	rzpD	y-ome
b0557	borD	y-ome
b0558	ybcV	y-ome
b0559	ybcW	y-ome
b0560	nohB, nohD	y-ome
b0561	tfaD, tfaD'	excluded
b0562	ybcY, ybcY'	excluded
b0563	tfaX, tfaX'	excluded
b0564	appY	well-annotated
b0565	ompT	well-annotated
b0566	envY	well-annotated
b0567	ybcH	y-ome
b0568	nfrA	y-ome
b0569	nfrB	y-ome
b0570	cusS	well-annotated
b0571	cusR	well-annotated
b0572	cusC	well-annotated
b0573	cusF	well-annotated
b0574	cusB	well-annotated
b0575	cusA	well-annotated
b0576	pheP	well-annotated
b0577	ybdG	well-annotated
b0578	nfsB	well-annotated
b0579	ybdF	y-ome
b0580	ybdJ	y-ome
b0581	ybdK	well-annotated
b0582	insL-2, insL2, insL1	well-annotated
b0583	entD	well-annotated
b0584	fepA	well-annotated
b0585	fes	well-annotated
b0586	entF	well-annotated
b0587	fepE	y-ome
b0588	fepC	well-annotated
b0589	fepG	well-annotated
b0590	fepD	well-annotated
b0591	entS	well-annotated
b0592	fepB	well-annotated
b0593	entC	well-annotated
b0594	entE	well-annotated
b0595	entB	well-annotated
b0596	entA	well-annotated
b0597	entH	well-annotated
b0598	cstA	well-annotated
b0599	hcxA, ybdH	well-annotated
b0600	ybdL	well-annotated
b0601	ybdM	y-ome
b0602	ybdN	y-ome
b0603	ybdO	y-ome
b0604	dsbG	well-annotated
b0605	ahpC	well-annotated
b0606	ahpF	well-annotated
b0607	uspG	well-annotated
b0608	ybdR	y-ome
b0609		excluded
b0610	rnk	well-annotated
b0611	rna	well-annotated
b0612	citT	well-annotated
b0613	citG	well-annotated
b0614	citX	well-annotated
b0615	citF	well-annotated
b0616	citE	well-annotated
b0617	citD	well-annotated
b0618	citC	well-annotated
b0619	dpiB, citA	well-annotated
b0620	dpiA, citB	well-annotated
b0621	dcuC	well-annotated
b0622	pagP	well-annotated
b0623	cspE	well-annotated
b0624	crcB, flc	well-annotated
b0625	ybeM_1	excluded
b0626	ybeM_2	excluded
b0627	tatE	well-annotated
b0628	lipA	well-annotated
b0629	ybeF	y-ome
b0630	lipB	well-annotated
b0631	ybeD	y-ome
b0632	dacA	well-annotated
b0633	rlpA	well-annotated
b0634	mrdB	well-annotated
b0635	mrdA	well-annotated
b0636	rlmH	well-annotated
b0637	rsfS	well-annotated
b0638	cobC	y-ome
b0639	nadD	well-annotated
b0640	holA	well-annotated
b0641	lptE	well-annotated
b0642	leuS	well-annotated
b0643	ybeL	y-ome
b0644	ybeQ	y-ome
b0645	ybeR	y-ome
b0646	djlB	y-ome
b0647	ybeT	y-ome
b0648	ybeU	y-ome
b0649	djlC	y-ome
b0650	hscC	y-ome
b0651	rihA	well-annotated
b0652	gltL	well-annotated
b0653	gltK	well-annotated
b0654	gltJ	well-annotated
b0655	gltI	well-annotated
b0656	insH-3, insH4, insH3, insH1	well-annotated
b0657	lnt	well-annotated
b0658	ybeX, corC	y-ome
b0659	ybeY	well-annotated
b0660	ybeZ	y-ome
b0661	miaB	well-annotated
b0662	ubiF	well-annotated
b0664	glnX	well-annotated
b0665	glnV	well-annotated
b0666	metU	well-annotated
b0668	glnW	well-annotated
b0670	glnU	well-annotated
b0672	leuW	well-annotated
b0673	metT	well-annotated
b0674	asnB	well-annotated
b0675	umpH, nagD	well-annotated
b0676	nagC	well-annotated
b0677	nagA	well-annotated
b0678	nagB	well-annotated
b0679	nagE	well-annotated
b0680	glnS	well-annotated
b0681	chiP	well-annotated
b0682	ybfN, chiQ	y-ome
b0683	fur	well-annotated
b0684	fldA	well-annotated
b0685	ybfE	y-ome
b0686	ybfF	well-annotated
b0687	seqA	well-annotated
b0688	pgm	well-annotated
b0689	ybfP	y-ome
b0690	ybfG	excluded
b0691	ybfH, ybfG', ybfG	excluded
b0692	potE	well-annotated
b0693	speF	well-annotated
b0694	kdpE	well-annotated
b0695	kdpD	well-annotated
b0696	kdpC	well-annotated
b0697	kdpB	well-annotated
b0698	kdpA	well-annotated
b0699	ybfA	y-ome
b0700	rhsC	y-ome
b0701		excluded
b0702	ybfB	y-ome
b0703	ybfO, rhsO', rhsO	excluded
b0704	ybfC	y-ome
b0705	ybfL, ybfL'	excluded
b0706	ybfD	y-ome
b0707	ybgA	y-ome
b0708	phr, phrB	well-annotated
b0709	dtpD	well-annotated
b0710	ybgI	well-annotated
b0711	pxpB, ybgJ	y-ome
b0712	pxpC, ybgK	y-ome
b0713	pxpA, ybgL	y-ome
b0714	nei	well-annotated
b0715	abrB	y-ome
b0716	ybgO	y-ome
b0717	ybgP	y-ome
b0718	ybgQ	y-ome
b0719	ybgD	y-ome
b0720	gltA	well-annotated
b0721	sdhC	well-annotated
b0722	sdhD	well-annotated
b0723	sdhA	well-annotated
b0724	sdhB	well-annotated
b0725		excluded
b0726	sucA	well-annotated
b0727	sucB	well-annotated
b0728	sucC	well-annotated
b0729	sucD	well-annotated
b0730	mngR	well-annotated
b0731	mngA	well-annotated
b0732	mngB	well-annotated
b0733	cydA	well-annotated
b0734	cydB	well-annotated
b0735	ybgE	y-ome
b0736	ybgC	well-annotated
b0737	tolQ	well-annotated
b0738	tolR	well-annotated
b0739	tolA	well-annotated
b0740	tolB	well-annotated
b0741	pal	well-annotated
b0742	cpoB, ybgF	well-annotated
b0743	lysT	well-annotated
b0744	valT	well-annotated
b0745	lysW	well-annotated
b0746	valZ	well-annotated
b0747	lysY	well-annotated
b0748	lysZ	well-annotated
b0749	lysQ	well-annotated
b0750	nadA	well-annotated
b0751	pnuC	well-annotated
b0752	zitB	well-annotated
b0753	ybgS	y-ome
b0754	aroG	well-annotated
b0755	gpmA	well-annotated
b0756	galM	well-annotated
b0757	galK	well-annotated
b0758	galT	well-annotated
b0759	galE	well-annotated
b0760	modF	y-ome
b0761	modE	well-annotated
b0762	acrZ	well-annotated
b0763	modA	well-annotated
b0764	modB	well-annotated
b0765	modC	well-annotated
b0766	ybhA	well-annotated
b0767	pgl	well-annotated
b0768	ybhD	y-ome
b0769	ybhH	y-ome
b0770	ybhI	y-ome
b0771	ybhJ	y-ome
b0772	ybhC	y-ome
b0773	ybhB	y-ome
b0774	bioA	well-annotated
b0775	bioB	well-annotated
b0776	bioF	well-annotated
b0777	bioC	well-annotated
b0778	bioD, bioD1	well-annotated
b0779	uvrB	well-annotated
b0780	ybhK	y-ome
b0781	moaA	well-annotated
b0782	moaB	well-annotated
b0783	moaC	well-annotated
b0784	moaD	well-annotated
b0785	moaE	well-annotated
b0786	ybhL	y-ome
b0787	ybhM	y-ome
b0788	ybhN	y-ome
b0789	clsB	well-annotated
b0790	ybhP	y-ome
b0791	ybhQ	y-ome
b0792	ybhR	well-annotated
b0793	ybhS	well-annotated
b0794	ybhF	well-annotated
b0795	ybhG	y-ome
b0796	cecR, ybiH	well-annotated
b0797	rhlE	well-annotated
b0798	ybiA	y-ome
b0799	dinG	well-annotated
b0800	ybiB	y-ome
b0801	hcxB, ybiC	well-annotated
b0802	ybiJ	y-ome
b0803	ybiI	y-ome
b0804	ybiX	y-ome
b0805	fiu	well-annotated
b0806	mcbA	y-ome
b0807	rlmF	well-annotated
b0808	ybiO	well-annotated
b0809	glnQ	well-annotated
b0810	glnP	well-annotated
b0811	glnH	well-annotated
b0812	dps	well-annotated
b0813	rhtA	well-annotated
b0814	ompX	y-ome
b0815	opgE	well-annotated
b0816	yliL	excluded
b0817	mntR	well-annotated
b0818	ybiR	y-ome
b0819	ldtB, ybiS	well-annotated
b0820	ybiT	y-ome
b0821	ybiU	y-ome
b0822	ybiV	well-annotated
b0823	ybiW	y-ome
b0824	ybiY	y-ome
b0825	fsaA	well-annotated
b0826	moeB	well-annotated
b0827	moeA	well-annotated
b0828	iaaA	well-annotated
b0829	gsiA	well-annotated
b0830	gsiB	well-annotated
b0831	gsiC	well-annotated
b0832	gsiD	well-annotated
b0833	pdeI, yliE	y-ome
b0834	dgcI, yliF	y-ome
b0835	rimO	well-annotated
b0836	bssR	y-ome
b0837	yliI	well-annotated
b0838	gstB	well-annotated
b0839	dacC	well-annotated
b0840	deoR	well-annotated
b0841	ybjG	well-annotated
b0842	mdfA	well-annotated
b0843	ybjH	y-ome
b0844	ybjI	well-annotated
b0845	ybjJ	y-ome
b0846	rcdA	well-annotated
b0847	ybjL	y-ome
b0848	ybjM	y-ome
b0849	grxA	well-annotated
b0850	ybjC	y-ome
b0851	nfsA	well-annotated
b0852	rimK	well-annotated
b0853	ybjN	y-ome
b0854	potF	well-annotated
b0855	potG	well-annotated
b0856	potH	well-annotated
b0857	potI	well-annotated
b0858	ybjO	y-ome
b0859	rlmC	well-annotated
b0860	artJ	well-annotated
b0861	artM	well-annotated
b0862	artQ	well-annotated
b0863	artI	y-ome
b0864	artP	well-annotated
b0865	ybjP	y-ome
b0866	ybjQ	y-ome
b0867	amiD	well-annotated
b0868	ybjS	y-ome
b0869	ybjT	y-ome
b0870	ltaE	well-annotated
b0871	poxB	well-annotated
b0872	hcr	well-annotated
b0873	hcp	well-annotated
b0874	lysO, ybjE	well-annotated
b0875	aqpZ	well-annotated
b0876	ybjD	y-ome
b0877	ybjX	y-ome
b0878	macA	well-annotated
b0879	macB	well-annotated
b0880	cspD	well-annotated
b0881	clpS	well-annotated
b0882	clpA	well-annotated
b0883	serW	well-annotated
b0884	infA	well-annotated
b0885	aat	well-annotated
b0886	cydC	well-annotated
b0887	cydD	well-annotated
b0888	trxB	well-annotated
b0889	lrp	well-annotated
b0890	ftsK	well-annotated
b0891	lolA	well-annotated
b0892	rarA	well-annotated
b0893	serS	well-annotated
b0894	dmsA	well-annotated
b0895	dmsB	well-annotated
b0896	dmsC	well-annotated
b0897	ycaC	y-ome
b0898	ycaD	y-ome
b0899	ycaM	y-ome
b0900	ycaN	y-ome
b0901	ycaK	y-ome
b0902	pflA	well-annotated
b0903	pflB	well-annotated
b0904	focA	well-annotated
b0905	ycaO	well-annotated
b0906	ycaP	y-ome
b0907	serC	well-annotated
b0908	aroA	well-annotated
b0909	ycaL	y-ome
b0910	cmk	well-annotated
b0911	rpsA	well-annotated
b0912	ihfB	well-annotated
b0913	ycaI	y-ome
b0914	msbA	well-annotated
b0915	lpxK	well-annotated
b0916	ycaQ	y-ome
b0917	ycaR	y-ome
b0918	kdsB	well-annotated
b0919	ycbJ	y-ome
b0920	elyC	y-ome
b0921	cmoM, smtA	well-annotated
b0922	mukF	well-annotated
b0923	mukE	well-annotated
b0924	mukB	well-annotated
b0925	ldtD, ycbB	well-annotated
b0926	ycbK	y-ome
b0927	gloC, ycbL	well-annotated
b0928	aspC	well-annotated
b0929	ompF	well-annotated
b0930	asnS	well-annotated
b0931	pncB	well-annotated
b0932	pepN	well-annotated
b0933	ssuB	well-annotated
b0934	ssuC	well-annotated
b0935	ssuD	well-annotated
b0936	ssuA	well-annotated
b0937	ssuE	well-annotated
b0938	elfA	well-annotated
b0939	elfD	y-ome
b0940	elfC	y-ome
b0941	elfG	y-ome
b0942	ycbU	y-ome
b0943	ycbV	y-ome
b0944	ycbF	y-ome
b0945	pyrD	well-annotated
b0946	zapC	well-annotated
b0947	ycbX	y-ome
b0948	rlmL	well-annotated
b0949	uup	well-annotated
b0950	pqiA	y-ome
b0951	pqiB	y-ome
b0952	pqiC, ymbA	y-ome
b0953	rmf	well-annotated
b0954	fabA	well-annotated
b0955	ycbZ	y-ome
b0956	matP	well-annotated
b0957	ompA	well-annotated
b0958	sulA	well-annotated
b0959	sxy	well-annotated
b0960	yccS	y-ome
b0961	yccF	y-ome
b0962	helD	well-annotated
b0963	mgsA	well-annotated
b0964	yccT	y-ome
b0965	yccU	y-ome
b0966	hspQ	y-ome
b0967	rlmI	well-annotated
b0968	yccX	well-annotated
b0969	tusE	well-annotated
b0970	yccA	well-annotated
b0971	serT	well-annotated
b0972	hyaA	well-annotated
b0973	hyaB	well-annotated
b0974	hyaC	well-annotated
b0975	hyaD	y-ome
b0976	hyaE	y-ome
b0977	hyaF	y-ome
