GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P00350	gnd	enables	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	ECO:0000314	IDA	PMID:19686854		83333	UniProt		F
UniProtKB	P00350	gnd	enables	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	ECO:0000314	IDA	PMID:35519		83333	EcoCyc		F
UniProtKB	P00350	gnd	enables	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	ECO:0000314	IDA	PMID:4387807		83333	EcoCyc		F
UniProtKB	P00350	gnd	enables	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	ECO:0000315	IMP	PMID:4869212		83333	EcoliWiki		F
UniProtKB	P00350	gnd	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P00350	83333	IntAct		F
UniProtKB	P00350	gnd	enables	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:19686854	UniProtKB:P00350	83333	UniProt		F
UniProtKB	P00363	frdA	enables	GO:0000104	succinate dehydrogenase activity	ECO:0000314	IDA	PMID:6754697		83333	EcoCyc		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:11850430	UniProtKB:P0AC47	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P76111	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16858726	UniProtKB:P0AC47	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:17137328	UniProtKB:P0AC47	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20484676	UniProtKB:P0ACB4	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0009055	electron transfer activity	ECO:0000314	IDA	PMID:11551223		83333	EcoCyc		F
UniProtKB	P00363	frdA	enables	GO:0009055	electron transfer activity	ECO:0000314	IDA	PMID:8499449		83333	EcoCyc		F
UniProtKB	P00363	frdA	enables	GO:0071949	FAD binding	ECO:0000314	IDA	PMID:381310		83333	EcoCyc		F
UniProtKB	P00370	gdhA	enables	GO:0004354	glutamate dehydrogenase (NADP+) activity	ECO:0000314	IDA	PMID:241744		83333	EcoCyc		F
UniProtKB	P00370	gdhA	enables	GO:0004354	glutamate dehydrogenase (NADP+) activity	ECO:0000314	IDA	PMID:241744		83333	EcoliWiki		F
UniProtKB	P00370	gdhA	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:241744	UniProtKB:P00370	83333	EcoCyc		F
UniProtKB	P00393	ndh	enables	GO:0008137	NADH dehydrogenase (ubiquinone) activity	ECO:0000314	IDA	PMID:7020757		83333	EcoCyc		F
UniProtKB	P00393	ndh	enables	GO:0050660	flavin adenine dinucleotide binding	ECO:0000314	IDA	PMID:2679883		83333	EcoCyc		F
UniProtKB	P00393	ndh	enables	GO:0050660	flavin adenine dinucleotide binding	ECO:0000314	IDA	PMID:7020757		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:7961811		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0004784	superoxide dismutase activity	ECO:0000314	IDA	PMID:330499		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0004784	superoxide dismutase activity	ECO:0000314	IDA	PMID:4921969		83333	EcoliWiki		F
UniProtKB	P00448	sodA	enables	GO:0016209	antioxidant activity	ECO:0000315	IMP	PMID:3011417		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0030145	manganese ion binding	ECO:0000314	IDA	PMID:9220980		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0030145	manganese ion binding	ECO:0000314	IDA	PMID:9548935		83333	EcoCyc		F
UniProtKB	P00448	sodA	enables	GO:0046872	metal ion binding	ECO:0000314	IDA	PMID:4921969		83333	EcoliWiki		F
UniProtKB	P00452	nrdA	enables	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	ECO:0000314	IDA	PMID:357894		83333	EcoCyc		F
UniProtKB	P00452	nrdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P69924	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:17726094	UniProtKB:P69924	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:22160671	UniProtKB:P69924	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:22727814	UniProtKB:P69924	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:9309223	UniProtKB:P69924	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0005524	ATP binding	ECO:0000314	IDA	PMID:4902211		83333	EcoliWiki		F
UniProtKB	P00452	nrdA	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:17726094	UniProtKB:P00452	83333	IntAct		F
UniProtKB	P00452	nrdA	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:22160671	UniProtKB:P00452	83333	IntAct		F
UniProtKB	P00490	malP	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:367781		83333	EcoCyc		F
UniProtKB	P00490	malP	enables	GO:0031220	maltodextrin phosphorylase activity	ECO:0000314	IDA	PMID:4865311		83333	EcoliWiki		F
UniProtKB	P00490	malP	enables	GO:0031220	maltodextrin phosphorylase activity	ECO:0000314	IDA	PMID:4897523		83333	EcoCyc		F
UniProtKB	P00509	aspC	enables	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	ECO:0000315	IMP	PMID:15983		83333	EcoliWiki		F
UniProtKB	P00509	aspC	enables	GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity	ECO:0000315	IMP	PMID:15983		83333	EcoliWiki		F
UniProtKB	P00509	aspC	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:352693		83333	EcoliWiki		F
UniProtKB	P00509	aspC	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:16858726	UniProtKB:P00509	83333	IntAct		F
UniProtKB	P00509	aspC	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P00509	83333	IntAct		F
UniProtKB	P00547	thrB	enables	GO:0004413	homoserine kinase activity	ECO:0000314	IDA	PMID:177283		83333	EcoCyc		F
UniProtKB	P00550	mtlA	enables	GO:0090565	protein-phosphocysteine-mannitol phosphotransferase system transporter activity	ECO:0000314	IDA	PMID:3142516		83333	EcoCyc		F
UniProtKB	P00550	mtlA	enables	GO:0090565	protein-phosphocysteine-mannitol phosphotransferase system transporter activity	ECO:0000314	IDA	PMID:6350293		83333	EcoCyc		F
UniProtKB	P00561	thrA	enables	GO:0004072	aspartate kinase activity	ECO:0000314	IDA	PMID:11368768		83333	EcoCyc		F
UniProtKB	P00561	thrA	enables	GO:0004412	homoserine dehydrogenase activity	ECO:0000314	IDA	PMID:11368768		83333	EcoCyc		F
UniProtKB	P00562	metL	enables	GO:0004072	aspartate kinase activity	ECO:0000314	IDA	PMID:4889171		83333	EcoCyc		F
UniProtKB	P00562	metL	enables	GO:0004412	homoserine dehydrogenase activity	ECO:0000314	IDA	PMID:4889171		83333	EcoCyc		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:10764785	UniProtKB:P0A8T7	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:11591686	UniProtKB:P0AFX4	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:11591686	UniProtKB:P32267	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P0A8T7	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P0A8V2	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P0A8T7	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P0A8V2	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P0AFX4	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18359804	UniProtKB:P0AFX4	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18359804	UniProtKB:P32267	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18826409	UniProtKB:P0AFX4	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19366670	UniProtKB:P0A8V2	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19366670	UniProtKB:P32267	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19903881	UniProtKB:P0A8T7	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:22135460	UniProtKB:P0A8V2	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P0AFX4	83333	IntAct		F
UniProtKB	P00579	rpoD	enables	GO:0016987	sigma factor activity	ECO:0000314	IDA	PMID:4882047		83333	EcoliWiki		F
UniProtKB	P00582	polA	enables	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:4890764		83333	EcoCyc		F
UniProtKB	P00582	polA	enables	GO:0003887	DNA-directed DNA polymerase activity	ECO:0000314	IDA	PMID:13563462		83333	EcoCyc		F
UniProtKB	P00582	polA	enables	GO:0003887	DNA-directed DNA polymerase activity	ECO:0000314	IDA	PMID:381283		83333	EcoliWiki		F
UniProtKB	P00582	polA	enables	GO:0008408	3'-5' exonuclease activity	ECO:0000314	IDA	PMID:4552924		83333	EcoCyc		F
UniProtKB	P00582	polA	enables	GO:0008408	3'-5' exonuclease activity	ECO:0000314	IDA	PMID:4890763		83333	EcoCyc		F
UniProtKB	P00582	polA	enables	GO:0008409	5'-3' exonuclease activity	ECO:0000314	IDA	PMID:4552925		83333	EcoCyc		F
UniProtKB	P00582	polA	enables	GO:0008409	5'-3' exonuclease activity	ECO:0000314	IDA	PMID:4890763		83333	EcoCyc		F
UniProtKB	P00634	phoA	enables	GO:0000287	magnesium ion binding	ECO:0000314	IDA	PMID:3910843		83333	EcoCyc		F
UniProtKB	P00634	phoA	enables	GO:0004035	alkaline phosphatase activity	ECO:0000314	IDA	PMID:13826559		83333	EcoCyc		F
UniProtKB	P00634	phoA	enables	GO:0004035	alkaline phosphatase activity	ECO:0000314	IDA	PMID:8634266		83333	CAFA		F
UniProtKB	P00634	phoA	enables	GO:0004721	phosphoprotein phosphatase activity	ECO:0000314	IDA	PMID:8634266		83333	CAFA		F
UniProtKB	P00634	phoA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18022369	UniProtKB:P10408	83333	IntAct		F
UniProtKB	P00634	phoA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19766568	UniProtKB:P0AEG4	83333	IntAct		F
UniProtKB	P00634	phoA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19924216	UniProtKB:P10408	83333	IntAct		F
UniProtKB	P00634	phoA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23937259	UniProtKB:Q5S007	83333	IntAct		F
UniProtKB	P00634	phoA	enables	GO:0008270	zinc ion binding	ECO:0000314	IDA	PMID:14487220		83333	EcoCyc		F
UniProtKB	P00634	phoA	enables	GO:0008270	zinc ion binding	ECO:0000314	IDA	PMID:3910843		83333	EcoCyc		F
UniProtKB	P00634	phoA	enables	GO:0030613	oxidoreductase activity, acting on phosphorus or arsenic in donors	ECO:0000314	IDA	PMID:15148399		83333	EcoliWiki		F
UniProtKB	P00634	phoA	enables	GO:0033748	hydrogenase (acceptor) activity	ECO:0000314	IDA	PMID:15148399		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0000287	magnesium ion binding	ECO:0000314	IDA	PMID:11045615		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0000287	magnesium ion binding	ECO:0000314	IDA	PMID:4625429		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0004565	beta-galactosidase activity	ECO:0000314	IDA	PMID:14304855		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0031420	alkali metal ion binding	ECO:0000314	IDA	PMID:11732897		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0031420	alkali metal ion binding	ECO:0000314	IDA	PMID:4860414		83333	EcoCyc		F
UniProtKB	P00722	lacZ	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:23850452	UniProtKB:P00722	83333	IntAct		F
UniProtKB	P00722	lacZ	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:24613486	UniProtKB:P00722	83333	IntAct		F
UniProtKB	P00722	lacZ	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:25953817	UniProtKB:P00722	83333	IntAct		F
UniProtKB	P00803	lepB	enables	GO:0004175	endopeptidase activity	ECO:0000315	IMP	PMID:2999144		83333	EcoCyc		F
UniProtKB	P00803	lepB	enables	GO:0004175	endopeptidase activity	ECO:0000314	IDA	PMID:6995457		83333	EcoCyc		F
UniProtKB	P00803	lepB	enables	GO:0004175	endopeptidase activity	ECO:0000314	IDA	PMID:7837264		83333	EcoCyc		F
UniProtKB	P00803	lepB	enables	GO:0004252	serine-type endopeptidase activity	ECO:0000315	IMP	PMID:1618816		83333	EcoCyc		F
UniProtKB	P00803	lepB	enables	GO:0008233	peptidase activity	ECO:0000314	IDA	PMID:15195997		83333	EcoliWiki		F
UniProtKB	P00803	lepB	enables	GO:0008233	peptidase activity	ECO:0000315	IMP	PMID:15598653		83333	EcoliWiki		F
UniProtKB	P00803	lepB	enables	GO:0015643	toxic substance binding	ECO:0000315	IMP	PMID:11511369	UniProtKB:P17998	83333	EcoliWiki		F
UniProtKB	P00804	lspA	enables	GO:0004175	endopeptidase activity	ECO:0000314	IDA	PMID:6363408		83333	EcoCyc		F
UniProtKB	P00805	ansB	enables	GO:0004067	asparaginase activity	ECO:0000314	IDA	PMID:1821783		83333	EcoCyc		F
UniProtKB	P00805	ansB	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:16858726	UniProtKB:P00805	83333	IntAct		F
UniProtKB	P00805	ansB	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:25040257	UniProtKB:P00805	83333	IntAct		F
UniProtKB	P00811	ampC	enables	GO:0008800	beta-lactamase activity	ECO:0000314	IDA	PMID:9324260		83333	EcoliWiki		F
UniProtKB	P00816	cynS	enables	GO:0008824	cyanate hydratase activity	ECO:0000314	IDA	PMID:3651424		83333	EcoCyc		F
UniProtKB	P00861	lysA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P0AE88	83333	IntAct		F
UniProtKB	P00861	lysA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19402753	UniProtKB:P0AE88	83333	IntAct		F
UniProtKB	P00861	lysA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P0AE88	83333	IntAct		F
UniProtKB	P00861	lysA	enables	GO:0008836	diaminopimelate decarboxylase activity	ECO:0000314	IDA	PMID:10625645		83333	EcoCyc		F
UniProtKB	P00861	lysA	enables	GO:0008836	diaminopimelate decarboxylase activity	ECO:0000314	IDA	PMID:14343156		83333	EcoCyc		F
UniProtKB	P00861	lysA	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:11856852		83333	EcoCyc		F
UniProtKB	P00864	ppc	enables	GO:0008964	phosphoenolpyruvate carboxylase activity	ECO:0000314	IDA	PMID:7040354		83333	EcoCyc		F
UniProtKB	P00887	aroH	enables	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	ECO:0000314	IDA	PMID:5335890		83333	EcoliWiki		F
UniProtKB	P00887	aroH	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P0A6F5	83333	IntAct		F
UniProtKB	P00887	aroH	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P0A6F5	83333	IntAct		F
UniProtKB	P00887	aroH	enables	GO:0042802	identical protein binding	ECO:0000314	IDA	PMID:1672127		83333	EcoCyc		F
UniProtKB	P00888	aroF	enables	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	ECO:0000314	IDA	PMID:9387		83333	EcoCyc		F
UniProtKB	P00888	aroF	enables	GO:0042802	identical protein binding	ECO:0000314	IDA	PMID:9387		83333	EcoCyc		F
UniProtKB	P00893	ilvI	enables	GO:0000287	magnesium ion binding	ECO:0000314	IDA	PMID:8756689		83333	EcoCyc		F
UniProtKB	P00893	ilvI	enables	GO:0003984	acetolactate synthase activity	ECO:0000314	IDA	PMID:2675968		83333	EcoCyc		F
UniProtKB	P00893	ilvI	enables	GO:0003984	acetolactate synthase activity	ECO:0000315	IMP	PMID:4612003		83333	EcoCyc		F
UniProtKB	P00893	ilvI	enables	GO:0030976	thiamine pyrophosphate binding	ECO:0000314	IDA	PMID:8756689		83333	EcoCyc		F
UniProtKB	P00894	ilvH	enables	GO:0003984	acetolactate synthase activity	ECO:0000314	IDA	PMID:2675968		83333	EcoCyc		F
UniProtKB	P00895	trpE	enables	GO:0004049	anthranilate synthase activity	ECO:0000314	IDA	PMID:4886289		83333	EcoCyc		F
UniProtKB	P00895	trpE	enables	GO:0004049	anthranilate synthase activity	ECO:0000314	IDA	PMID:4886289		83333	EcoliWiki		F
UniProtKB	P00903	pabA	enables	GO:0046820	4-amino-4-deoxychorismate synthase activity	ECO:0000315	IMP	PMID:4914080		83333	UniProt		F
UniProtKB	P00904	trpGD	enables	GO:0004048	anthranilate phosphoribosyltransferase activity	ECO:0000314	IDA	PMID:2428387		83333	EcoCyc		F
UniProtKB	P00904	trpGD	enables	GO:0004049	anthranilate synthase activity	ECO:0000314	IDA	PMID:4886289		83333	EcoCyc		F
UniProtKB	P00909	trpC	enables	GO:0004425	indole-3-glycerol-phosphate synthase activity	ECO:0000314	IDA	PMID:5332729		83333	EcoCyc		F
UniProtKB	P00909	trpC	enables	GO:0004640	phosphoribosylanthranilate isomerase activity	ECO:0000314	IDA	PMID:4865047		83333	EcoCyc		F
UniProtKB	P00909	trpC	enables	GO:0004640	phosphoribosylanthranilate isomerase activity	ECO:0000314	IDA	PMID:7727401		83333	EcoCyc		F
UniProtKB	P00914	phrB	enables	GO:0003904	deoxyribodipyrimidine photo-lyase activity	ECO:0000314	IDA	PMID:6363715		83333	EcoCyc		F
UniProtKB	P00914	phrB	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P68739	83333	IntAct		F
UniProtKB	P00926	dsdA	enables	GO:0008721	D-serine ammonia-lyase activity	ECO:0000314	IDA	PMID:5327100		83333	EcoliWiki		F
UniProtKB	P00926	dsdA	enables	GO:0008721	D-serine ammonia-lyase activity	ECO:0000314	IDA	PMID:5327100		83333	CACAO		F
UniProtKB	P00926	dsdA	enables	GO:0008721	D-serine ammonia-lyase activity	ECO:0000314	IDA	PMID:5327101		83333	EcoCyc		F
UniProtKB	P00926	dsdA	enables	GO:0016836	hydro-lyase activity	ECO:0000314	IDA	PMID:4917239		83333	EcoliWiki		F
UniProtKB	P00926	dsdA	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:5327100		83333	EcoCyc		F
UniProtKB	P00926	dsdA	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:5327101		83333	EcoCyc		F
UniProtKB	P00926	dsdA	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000315	IMP	PMID:789365		83333	EcoliWiki		F
UniProtKB	P00934	thrC	enables	GO:0004795	threonine synthase activity	ECO:0000314	IDA	PMID:6316258		83333	EcoCyc		F
UniProtKB	P00935	metB	enables	GO:0003962	cystathionine gamma-synthase activity	ECO:0000314	IDA	PMID:2405903		83333	EcoCyc		F
UniProtKB	P00935	metB	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000314	IDA	PMID:2405903		83333	EcoCyc		F
UniProtKB	P00936	cyaA	enables	GO:0004016	adenylate cyclase activity	ECO:0000314	IDA	PMID:6300054		83333	EcoCyc		F
UniProtKB	P00936	cyaA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16407219	UniProtKB:P69783	83333	EcoCyc		F
UniProtKB	P00936	cyaA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P15038	83333	IntAct		F
UniProtKB	P00944	xylA	enables	GO:0009045	xylose isomerase activity	ECO:0000314	IDA	PMID:2405386		83333	EcoCyc		F
UniProtKB	P00944	xylA	enables	GO:0009045	xylose isomerase activity	ECO:0000315	IMP	PMID:6344793		83333	CACAO		F
UniProtKB	P00946	manA	enables	GO:0004476	mannose-6-phosphate isomerase activity	ECO:0000314	IDA	PMID:5335965		83333	EcoCyc		F
UniProtKB	P00946	manA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P18196	83333	IntAct		F
UniProtKB	P00946	manA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19402753	UniProtKB:P18196	83333	IntAct		F
UniProtKB	P00946	manA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P18196	83333	IntAct		F
UniProtKB	P00954	trpS	enables	GO:0004830	tryptophan-tRNA ligase activity	ECO:0000314	IDA	PMID:4371652		83333	EcoCyc		F
UniProtKB	P00956	ileS	enables	GO:0004822	isoleucine-tRNA ligase activity	ECO:0000314	IDA	PMID:4581276		83333	GO_Central		F
UniProtKB	P00956	ileS	enables	GO:0004822	isoleucine-tRNA ligase activity	ECO:0000314	IDA	PMID:764868		83333	EcoCyc		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P02925	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P0CE47	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P19930	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P39336	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P02925	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P19930	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P39336	83333	IntAct		F
UniProtKB	P00956	ileS	enables	GO:0008270	zinc ion binding	ECO:0000314	IDA	PMID:8286369		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0001141	transcriptional repressor activity, bacterial-type RNA polymerase proximal promoter sequence-specific DNA binding	ECO:0000314	IDA	PMID:6264314		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0002161	aminoacyl-tRNA editing activity	ECO:0000315	IMP	PMID:12554667		83333	UniProt		F
UniProtKB	P00957	alaS	enables	GO:0002161	aminoacyl-tRNA editing activity	ECO:0000314	IDA	PMID:18172502		83333	UniProt		F
UniProtKB	P00957	alaS	enables	GO:0002196	Ser-tRNA(Ala) hydrolase activity	ECO:0000314	IDA	PMID:18172502		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0002196	Ser-tRNA(Ala) hydrolase activity	ECO:0000314	IDA	PMID:6117825		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0004813	alanine-tRNA ligase activity	ECO:0000314	IDA	PMID:7005211		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0008270	zinc ion binding	ECO:0000314	IDA	PMID:1712632		83333	EcoCyc		F
UniProtKB	P00957	alaS	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:16858726	UniProtKB:P00957	83333	IntAct	occurs_in(GO:0005737)	F
UniProtKB	P00959	metG	enables	GO:0004825	methionine-tRNA ligase activity	ECO:0000314	IDA	PMID:4297674		83333	EcoCyc		F
UniProtKB	P00959	metG	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16606699	UniProtKB:P60422	83333	IntAct		F
UniProtKB	P00959	metG	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24561554	UniProtKB:P60422	83333	IntAct		F
UniProtKB	P00959	metG	enables	GO:0008270	zinc ion binding	ECO:0000314	IDA	PMID:6794600		83333	EcoCyc		F
