EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG10013	ECK1857	mepM	yebA	aa	440	Counterclockwise	1940313	1941635	41.80	49057.75	murein DD-endopeptidase, space-maker hydrolase, septation protein	Enzyme; Murein sacculus, peptidoglycan	Murein DD-endopeptidase, space-maker hydrolase, septation protein; ampicillin sensitivity	The probably membrane-anchored periplasmic protein MepM(YebA) is one of three D-alanine-meso-DAP specific murein DD-endopeptidases, including MepS(Spr) and MepH(YdhO), which are the long predicted space-maker hydrolases needed to cleave peptide cross-bridges in murein so that the murein sacculus can be elongated by murein synthases; MepM(YebA) can act on intact murein sacculi and soluble cross-linked muropeptide dimers; MepM(YebA) activity requires divalent cations, optimally Zn(2+); cloned mepM(yebA) complements an mepS(spr) deletion; an mepS(spr)-mepH(ydhO)-mepM(yebA) triple mutation is lethal and an mepS(spr)-mepM(yebA) double mutant fails to grow on rich media but grows on minimal media (Singh, 2012). MepM(YebA) is needed for normal septation; mepM(yebA) mutants are more resistant to ampicillin, have septal defects and alleviate the growth defects associated with amiC, ampD and other murein hydrolases (Babu, 2011). NlpD, YgeR, MepM(YebA) and EnvC are members of the M23 clan of predicted metallopeptidases that have C-terminal LytM domains; mutating all four LytM domain genes produces a strain with a severe filamentous phenotype, similar to an amiABC triple mutant, of over 20 times the normal cell length and more than 70 times the normal amount of septa/cell, from 0.5 to 36 septa/cell; also similar to the amiABC mutant, the nlpD-envC-mepM(yebA)-ygeR mutant has altered morphology and delayed onset of lysis after beta-lactam antibiotic treatment (Uehara, 2009). MepM(YebA) must be in the periplasm as that is where its substrate is, but SignalP does not indicate a signal peptide cleavage site; nonetheless there is a single predicted transmembrane segment at positions 21-40 that likely serves as a signal anchor after membrane translocation. The spr, yebA, and ydhO genes have been renamed as mepS, mepM, and mepH, respectively (M. Reddy, personal communication).	87081989	P0AFS9	b1856	6189	JW5304	Null
EG10014	ECK2465	acrD	yffA	aa	1037	Clockwise	2587595	2590708	55.75	113047.34	aminoglycoside/multidrug efflux system	Putative transport; Drug/analog sensitivity	Aminoglycoside efflux pump; RND-type transporter	An acrD mutation confers increased sensitivity to aminoglycosides. acrD is paralogous to acrB. EvgAS regulon.	; 1788814	P24177	b2470	8136	JW2454	CG35697
EG10015	ECK2512	rodZ	yfgA	aa	337	Counterclockwise	2641831	2642844	56.92	36191.67	MreB assembly cytoskeletal protein	Putative membrane; Not classified	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein	rodZ(yfgA) double mutants with yciB, yciM or yhcB could not be constructed indicating that they are synthetic lethal combinations (Niba, 2007).	1788864	P27434	b2516	8283	JW2500	Null
EG10016	ECK3114	garL	yhaF	aa	256	Counterclockwise	3272787	3273557	70.51	27384.16	alpha-dehydro-beta-deoxy-D-glucarate aldolase	Null	2-dehydro-3-deoxygalactarate aldolase; homohexameric	Null	1789514	P23522	b3126	10276	JW3095	Null
EG10017	ECK3176	ispB	cel, yhbD	aa	323	Clockwise	3333710	3334681	71.82	35216.97	octaprenyl diphosphate synthase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	Octaprenyl diphosphate synthase, isoprenoid biosynthesis	Null	; 1789578	P0AD57	b3187	10474	JW3154	CG35712
EG10018	ECK3240	csrD	yhdA	aa	646	Counterclockwise	3401392	3403332	73.28	73339.24	targeting factor for csrBC sRNA degradation	Null	Targeting factor for csrBC sRNA degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function	In its c-di-GMP domains CsrD has HRSDF instead of GGDEF and ELM instead of EAL and does not appear to have either diguanylate cyclase or cyclic-di-GMP phosphodiesterase activities and the role of CsrD in csrB/C destabilization does not involve cyclic-di-GMP metabolism (Suzuki, 2006). There is a very low level of CsrD expression and CsrD may work at substoichiometric concentrations (Suzuki, 2006). False positive lipoprotein prediction, Cys not conserved.	1789650	P13518	b3252	10663	JW3221	Null
EG10020	ECK3905	cpxR	yiiA	aa	232	Counterclockwise	4104972	4105670	88.44	26312.11	response regulator in two-component regulatory system with CpxA	Putative regulator; Not classified	Response regulator, periplasmic stress response; CpxA is cognate sensor protein	Null	; 2367329	P0AE88	b3912	12774	JW3883	CG34166
EG10021	ECK4342	yjiA	None	aa	318	Counterclockwise	4587909	4588865	98.84	35659.69	metal-binding GTPase	Null	Metal-binding GTPase, function unknown; GTP-binding protein; may have role in zinc homeostasis	YjiA binds metals near its GTPase site, which may modulate its GTPase activity (Sydor, 2013). yjiA and yjiS are widely shared genes flanking the variable Immigration Control Region (ICR) restriction-modification cassettes of enterobacterial genomes (Sibley, 2004). Binds TrxA (Kumar, 2004).	87082430	P24203	b4352	14273	JW5790	Null
EG10022	ECK4007	aceA	icl	aa	434	Clockwise	4217109	4218413	90.85	47521.57	isocitrate lyase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric	Null	; 1790445	P0A9G6	b4015	13128	JW3975	CG1052
EG10023	ECK4006	aceB	mas	aa	533	Clockwise	4215478	4217079	90.82	60273.57	malate synthase A	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Malate synthase A; glyoxylate shunt enzyme	Null	; 1790444	P08997	b4014	13125	JW3974	CG1051
EG10024	ECK0113	aceE	None	aa	887	Clockwise	123017	125680	2.65	99668.49	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement	The pyruvate dehydrogenase holoenzyme is AceE(24)+AceF(24)+Lpd(12).	; 1786304	P0AFG8	b0114	397	JW0110	CG1050
EG10025	ECK0114	aceF	None	aa	630	Clockwise	125695	127587	2.71	66096.07	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement	The crystal structure of AceF (PDB: 4N72) is derived from E. coli O157:H7 but is identical to the K-12 sequence (Wang, 2014). The pyruvate dehydrogenase holoenzyme is AceE(24)+AceF(24)+Lpd(12). HT_Cmplx3_Cyt: AceF+Lpd.	; 1786305	P06959	b0115	400	JW0111	CG26530
EG10026	ECK4008	aceK	None	aa	578	Clockwise	4218596	4220332	90.89	67698.58	isocitrate dehydrogenase kinase/phosphatase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Isocitrate dehydrogenase kinase/phosphatase	Null	; 1790446	P11071	b4016	13131	JW3976	CG17770
EG10027	ECK2290	ackA	None	aa	400	Clockwise	2413470	2414672	52.00	43290.45	acetate kinase A and propionate kinase 2	Enzyme; Energy metabolism, carbon: Electron transport	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)	The AckA N-terminus has been reported to be blocked (Fox, 1986). The AckA N-terminus has been reportedly determined by protein sequencing, but the actual sequence data was not provided so it is not known if the intitial Met is cleaved or not, therefore AckA is not in the Verified Set (Katayama, 2002). OtherPDB(S.typhimurium): 3SLC, 3SK3 (Chittori, 2012).	; 1788633	P0A6A3	b2296	7579	JW2293	CG1048
EG10028	ECK0893	pflA	act	aa	246	Counterclockwise	950340	951080	20.47	28204.29	pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	Radical SAM superfamily.	; 1787130	P0A9N4	b0902	3068	JW0885	CG35839
EG10029	ECK2205	ada	None	aa	354	Counterclockwise	2309341	2310405	49.75	39323.87	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)	The Ada N-terminal domain acts as a transcriptional activator of ada, alkA, alkB and aidB. Ogt, Ada-C and YbaZ are homologous.	; 1788542	P06134	b2213	7311	JW2201	CG1043
EG10030	ECK1618	add	None	aa	333	Clockwise	1702233	1703234	36.67	36397.46	adenosine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Adenosine deaminase	Binds TrxA (Kumar, 2004). An add mutation affects growth on deoxyadenosine as carbon source in purA purB mutant background. 17/286 Add peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	; 1787910	P22333	b1623	5435	JW1615	CG1042
EG10031	ECK1235	adhE	adhC, ana	aa	891	Counterclockwise	1295446	1298121	27.91	96127.24	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	Enzyme; Energy metabolism, carbon: Fermentation	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance	The reported PFL deactivase activity of AdhE (Kessler, 1991, 1992) could not be reproduced (Nnyepi, 2007).	; 1787493	P0A9Q7	b1241	4164	JW1228	CG1041
EG10032	ECK0468	adk	dnaW, plsA	aa	214	Clockwise	497175	497819	10.71	23586.02	adenylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric	Null	; 1786680	P69441	b0474	1645	JW0463	CG1040
EG10033	ECK0993	agp	None	aa	413	Clockwise	1065585	1066826	22.96	45682.91	glucose-1-phosphatase/inositol phosphatase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity	Requires DsbA for activity.	; 1787237	P19926	b1002	3388	JW0987	CG31830
EG10034	ECK2692	alaS	act, ala-act, lovB	aa	876	Counterclockwise	2819381	2822011	60.74	96032.40	alanyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Alanine--tRNA ligase, autorepressor	alaS is an essential gene (Jasin, 1984). The alaS mutants in the Keio collection have been shown to harbor an intact copy of alaS in addition to the deletion allele (Yamamoto, 2009). AlaS binds to the alaS promoter region and autoregulates its own gene expression in response to the intracellular alanine concentration (Putney, 1981a).	; 1789048	P00957	b2697	8869	JW2667	CG1039
EG10035	ECK1408	aldA	ald	aa	479	Clockwise	1488232	1489671	32.06	52272.79	aldehyde dehydrogenase A, NAD-linked	Enzyme; Energy metabolism, carbon: Fermentation	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes	Null	; 1787684	P25553	b1415	4725	JW1412	CG17767
EG10036	ECK1295	puuC	aldH	aa	495	Clockwise	1362743	1364230	29.36	53418.63	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase; putrescine utilization pathway	PatD and PuuC account for 55% and 30%, respectively, of the cellular gamma-aminobutyraldehyde dehydrogenase activity (Schneider, 2012). PuuC accounts for 75% of the cellular NAD-dependent succinic semialdehyde dehydrogenase activity (Schneider, 2012).	; 1787558	P23883	b1300	4376	JW1293	CG35320
EG10037	ECK2204	alkB	aidD	aa	216	Counterclockwise	2308691	2309341	49.74	24075.53	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	Putative enzyme; DNA - replication, repair, restriction/modification	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA	AlkB mutants are extremely sensitive to MMS. Also repairs alkylated mRNA and tRNA in vivo and in vitro, the first example of direct RNA repair. Repairs epsilonA and epsilonC. Ada regulon.	; 1788541	P05050	b2212	7308	JW2200	CG18544
EG10039	ECK1977	amn	None	aa	484	Clockwise	2055061	2056515	44.27	53994.91	AMP nucleosidase	Enzyme; Salvage of nucleosides and nucleotides	AMP nucleosidase	PhoB regulon (Baek, 2006).	; 1788293	P0AE12	b1982	6579	JW1963	CG17764
EG10040	ECK4146	ampC	ampA	aa	377	Counterclockwise	4377811	4378944	94.32	41555.59	penicillin-binding protein; beta-lactamase, intrinsically weak	Enzyme; Drug/analog sensitivity	Penicillin-binding protein; beta-lactamase, intrinsically weak; penicillin resistance; affects morphology	AmpC is a penicillin-binding protein (Henderson, 1997). AmpC has a false positive lipoprotein prediction. AmpC is a verified SPI substrate (Jaurin, 1981).	; 1790593	P00811	b4150	13592	JW4111	CG1033
EG10041	ECK0109	ampD	None	aa	183	Clockwise	118733	119284	2.56	20536.17	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	Regulator; Not classified	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	2/87 AmpD peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	; 1786300	P13016	b0110	380	JW0106	CG30478
EG10042	ECK0110	ampE	None	aa	284	Clockwise	119281	120135	2.57	32121.99	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	Regulator; Drug/analog sensitivity	Ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	Null	; 1786301	P0AE14	b0111	382	JW0107	CG30481
EG10043	ECK4210	cysQ	amt, amtA	aa	246	Clockwise	4436755	4437495	95.59	27175.86	3'(2'),5'-bisphosphate nucleotidase	Enzyme; Central intermediary metabolism: Sulfur metabolism	3'(2'),5'-bisphosphate nucleotidase; converts pAp to AMP; lithium- and calcium-inhbited; putative PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase	CysQ is a main target of lithium toxicity in vivo. CysQ (AmtA) was originally thought to be involved in ammonium transport. CysQ may be part of a futile sulfur cycle with APS kinase CysC. CysQ is also known as 3'-phosphoadenosine 5'-phosphate (pAp) phosphatase. 6/78 CysQ peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	; 1790659	P22255	b4214	13786	JW4172	CG34409
EG10044	ECK1737	osmE	anr	aa	112	Counterclockwise	1821918	1822256	39.25	12020.67	osmotically-inducible lipoprotein	Regulator; Global regulatory functions	Osmotically inducible lipoprotein, function unknown	osmE is also regulated by growth phase. Promoter overlaps divergent nadE promoter. The first 20 aa of osmE cosntitute a type II signal peptide. HT_Cmplx43_Mem: DcrB+MoaB+OsmE+Slp+YajG+YraP.	; 1788035	P0ADB1	b1739	5799	JW1728	CG36628
EG10045	ECK1765	ansA	None	aa	338	Clockwise	1850860	1851876	39.88	37127.24	cytoplasmic L-asparaginase 1	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 1, cytoplasmic, low affinity	AnsA is required for utilization of L-asparagine as the sole source of nitrogen (Del Casale, 1983).	; 1788065	P0A962	b1767	5886	JW1756	CG1030
EG10046	ECK2952	ansB	None	aa	348	Counterclockwise	3099682	3100728	66.78	36850.69	periplasmic L-asparaginase 2	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 2, periplasmic, high affinity	ansB is regulated by Crp and FNR. AnsB can provide an anaerobic electron acceptor and allows growth on asparagine and glycerol anaerobically (Yogitha, 2013).	; 1789327	P00805	b2957	9700	JW2924	CG30045
EG10047	ECK0051	apaG	corD(S.t.), temP	aa	125	Counterclockwise	51229	51606	1.10	13866.76	protein associated with Co2+ and Mg2+ efflux	Null	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH	Null	; 1786235	P62672	b0050	169	JW0049	CG30310
EG10048	ECK0050	apaH	cfcB	aa	280	Counterclockwise	50380	51222	1.09	31296.72	diadenosine tetraphosphatase	Enzyme; Salvage of nucleosides and nucleotides	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical	Required for invasion of cultured mammalian cells by S. typhimurium. Stress response. Complex operon.	; 1786234	P05637	b0049	167	JW0048	CG17761
EG10049	ECK0971	appA	None	aa	432	Clockwise	1040617	1041915	22.42	47056.83	phosphoanhydride phosphorylase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase	EvgAS regulon. AppA requires DsbA for activity.	; 1787215	P07102	b0980	3305	JW0963	CG17758
EG10050	ECK0556	appY	None	aa	249	Clockwise	583681	584430	12.57	28763.50	global transcriptional activator; DLP12 prophage	Regulator; Central intermediary metabolism: Pool, multipurpose conversions; Phage or Prophage Related	Global transcription regulator, AraC family, DLP12 prophage	The global transcriptional regulator AppY stimulates expression of the anaerobically-induced energy metabolism operons hyaA-F and cbdABX-appA (Brøndsted, 1996; Atlung, 1996; Atlung, 1997). appY expression is induced by phosphate starvation and stationary phase. AppY activates cbdABX-appA transcription as growth slows, and AppY either activates or repressses other genes during exponential or stationary phase.	; 1786776	P05052	b0564	1929	JW0553	CG31146
EG10051	ECK0463	apt	None	aa	183	Clockwise	491412	491963	10.59	19858.88	adenine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade	Null	; 1786675	P69503	b0469	1628	JW0458	CG1029
EG10052	ECK0063	araA	None	aa	500	Counterclockwise	66835	68337	1.44	56073.99	L-arabinose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	L-arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	Null	; 1786248	P08202	b0062	221	JW0061	CG1028
EG10053	ECK0064	araB	None	aa	566	Counterclockwise	68348	70048	1.47	61089.42	L-ribulokinase	Enzyme; Degradation of small molecules: Carbon compounds	Ribulokinase	Null	; 1786249	P08204	b0063	223	JW0062	CG1027
EG10054	ECK0065	araC	None	aa	292	Clockwise	70387	71265	1.52	33383.91	ara regulon transcriptional activator; autorepressor	Regulator; Degradation of small molecules: Carbon compounds	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator	AraC activates transcrption for araE and the araBAD and araFGH operons; AraC transcriptional activator family prototype.	; 1786251	P0A9E0	b0064	236	JW0063	CG1026
EG10055	ECK0062	araD	None	aa	231	Counterclockwise	65855	66550	1.42	25518.91	L-ribulose-5-phosphate 4-epimerase	Enzyme; Degradation of small molecules: Carbon compounds	L-ribulose-5-phosphate 4-epimerase	AraD is a masked class II aldolase.	; 1786247	P08203	b0061	209	JW0060	CG1025
EG10056	ECK2839	araE	None	aa	472	Counterclockwise	2980764	2982182	64.22	51684.43	arabinose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Low-affinity L-arabinose transport; L-arabinose proton symport	Major Facilitator Superfamily (MFS).	; 1789207	P0AE24	b2841	9319	JW2809	CG1024
EG10057	ECK1899	araF	None	aa	329	Counterclockwise	1985139	1986128	42.77	35540.90	L-arabinose ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter periplasmic binding protein	Null	; 1788211	P02924	b1901	6330	JW1889	CG1023
EG10058	ECK1898	araG	None	aa	504	Counterclockwise	1983555	1985069	42.73	55018.23	L-arabinose ABC transporter ATPase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter ATPase	Null	; 1788210	P0AAF3	b1900	6328	JW1888	CG1022
EG10059	ECK1897	araH	None	aa	328	Counterclockwise	1982554	1983540	42.71	34210.92	L-arabinose ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter permease	Null	; 48994893	P0AE26	b4460	174093	JW1887	CG18535
EG10060	ECK0390	araJ	None	aa	394	Counterclockwise	411297	412481	8.86	41926.34	L-arabinose-inducible putative transporter, MFS family	Transport; Degradation of small molecules: Carbon compounds	L-arabinose-inducible MFS family transporter, function unknown; not involved in arabinose uptake or utilization	A mutation in araJ does not affect arabinose uptake or utilization and does not affect the kinetics of arabinose induction, implying it is not an arabinose exporter either; the AraJ transport substrate is unknown (Reeder, 1991). Ara regulon.	; 1786595	P23910	b0396	1378	JW0386	CG29861
EG10061	ECK4393	arcA	cpxC, dye, fexA, msp, seg, sfrA	aa	238	Counterclockwise	4639590	4640306	99.96	27292.02	response regulator in two-component regulatory system with ArcB or CpxA	Regulator; Global regulatory functions	Response regulator, represses aerobic genes during anaerobic growth; auto-activator; activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor	The phosphorylated aerobic respiration control response regulator ArcA is also a direct repressor of rpoS transcription, binding at the promoter region (Mika, 2005). The arcA promoter region binds ArcA and ArcA activates arcA exression (Federowicz, 2014).	; 1790863	P0A9Q1	b4401	14434	JW4364	CG831
